phylum;subphylum;class;order;genus;name;taxID;jgiID 
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Adustoporia;Adustoporia sinuosa;1333626;Antsi1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Aphanobasidium;Aphanobasidium pseudotsugae;693291;Aphpse1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Apiosordaria;Apiosordaria backusii;314023;Apibac1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Arthrinium;Arthrinium arundinis;335852;Apimo1
Ascomycota;Pezizomycotina;Dothideomycetes;Botryosphaeriales;Aplosporella;Aplosporella prunicola;462254;Aplpr1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Apodospora;Apodospora peruviana;516989;Apope1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria borealis;47425;Armbor1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria cepistipes;47426;Armcep1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria ectypa;47430;Armect1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria gallica;47427;Armga1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria luteobubalina;153913;Armlut1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria mellea DSM 3731;1314977;Armme1_1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria mellea;47429;Armmel1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria nabsnona;64368;Armnab1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria solidipes;1076256;Armost1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria ostoyae;47428;Armosto1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Armillaria;Armillaria tabescens;47431;Armtab1
Ascomycota;Pezizomycotina;Eurotiomycetes;Onygenales;Trichophyton;Trichophyton benhamiae CBS 112371;663331;Artbe1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Trametes;Trametes elegans;526244;Artel1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Trametes;Trametes elegans;526244;Artele1122_1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycopsis;Saccharomycopsis fermentans;53486;Artfe1_2
Ascomycota;Pezizomycotina;Orbiliomycetes;Orbiliales;Arthrobotrys;Arthrobotrys oligospora ATCC 24927;756982;Artol1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Blastobotrys;Blastobotrys adeninivorans LR3;1401090;Arxad1
Ascomycota;Pezizomycotina;Pezizomycetes;Pezizales;Ascobolus;Ascobolus immersus;5191;Ascim1
Ascomycota;Pezizomycotina;Pezizomycetes;Pezizales;Ascodesmis;Ascodesmis nigricans;341454;Ascni1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Ascochyta;Ascochyta rabiei;5454;Ascra1
