phylum;subphylum;class;order;genus;name;taxID;jgiID 
Basidiomycota;Agaricomycotina;Agaricomycetes;Boletales;Boletus;Boletus edulis BED1;1328754;Boled5
Basidiomycota;Agaricomycotina;Agaricomycetes;Boletales;Boletus;Boletus edulis;36056;Boledp1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Bolbitius;Bolbitius vitellinus;34439;Bolvit1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;;Lasiosphaeriaceae sp. AZ0830;2184036;Bombar1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Bombardia;Bombardia bombarda;252184;Bombom1
Basidiomycota;Agaricomycotina;Agaricomycetes;Russulales;Boreostereum;Boreostereum radiatum;103380;Borrad1
Basidiomycota;Agaricomycotina;Agaricomycetes;Cantharellales;Botryobasidium;Botryobasidium botryosum FD-172 SS1;930990;Botbo1
Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales;Botrytis;Botrytis cinerea;40559;Botci1
Ascomycota;Pezizomycotina;Dothideomycetes;Botryosphaeriales;Botryosphaeria;Botryosphaeria dothidea;55169;Botdo1_1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Botryozyma;Botryozyma mucatilis;280465;Botmuc1
Ascomycota;Pezizomycotina;Leotiomycetes;Phacidiales;Bulgaria;Bulgaria inquinans;73172;Bulin1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Byssothecium;Byssothecium circinans;147558;Bysci1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Byssochlamys;Byssochlamys nivea;5093;Bysni1
Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales;Byssochlamys;Byssochlamys spectabilis No. 5;1356009;Byssp1
Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales;Cadophora;Cadophora sp. DSE1049;1485229;Cadsp1
Chytridiomycota;;Neocallimastigomycetes;Neocallimastigales;Caecomyces;Caecomyces churrovis;2019372;Caecom1
Basidiomycota;Agaricomycotina;Dacrymycetes;Dacrymycetales;Calocera;Calocera cornea HHB12733;1353952;Calco1
Ascomycota;Pezizomycotina;Pezizomycetes;Pezizales;Caloscypha;Caloscypha fulgens;47187;Calful1
Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales;Calycina;Calycina marina;1763456;Calmar1
Ascomycota;Pezizomycotina;Eurotiomycetes;Coryneliales;Caliciopsis;Caliciopsis orientalis;380014;Calor1
Ascomycota;Pezizomycotina;Sordariomycetes;Calosphaeriales;Calosphaeria;Calosphaeria pulchella;312312;Calpu1
Basidiomycota;Agaricomycotina;Dacrymycetes;Dacrymycetales;Calocera;Calocera viscosa TUFC12733;1330018;Calvi1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Candida;Candida albicans SC5314;237561;Canalb1
Basidiomycota;Agaricomycotina;Agaricomycetes;Cantharellales;;Cantharellus;36065;Cananz1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Ogataea;[Candida] arabinofermentans;130810;Canar1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Ogataea;[Candida] boidinii;5477;Canbo1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Tortispora;Tortispora caseinolytica NRRL Y-17796;767744;Canca1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Suhomyces;Suhomyces tanzawaensis NRRL Y-17324;984487;Canta1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Yamadazyma;Yamadazyma tenuis ATCC 10573;590646;Cante1
Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Capronia;Capronia coronata CBS 617.96;1182541;Capcor1
Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Capronia;Capronia epimyces CBS 606.96;1182542;Capep1
Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Phialophora;Phialophora americana;5601;Capse1
Blastocladiomycota;;Blastocladiomycetes;Blastocladiales;Catenaria;Catenaria anguillulae;109876;Catan2
Chytridiomycota;;Chytridiomycetes;Caulochytriales;Caulochytrium;Caulochytrium protostelioides;1555241;Caupr1
Chytridiomycota;;Chytridiomycetes;Caulochytriales;Caulochytrium;Caulochytrium protostelioides;1555241;Caupr_SCcomb
Ascomycota;Pezizomycotina;Dothideomycetes;;Cenococcum;Cenococcum geophilum 1.58;794803;Cenge3
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Cephaloascus;Cephaloascus albidus;43958;Cepal1_1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Cephaloascus;Cephaloascus fragrans;27311;Cepfr1_1
Basidiomycota;Agaricomycotina;Agaricomycetes;Cantharellales;Ceratobasidium;Ceratobasidium sp. AG-I;305860;CerAGI
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Cercophora;Cercophora caudata;314043;Cercau1
Basidiomycota;Agaricomycotina;Dacrymycetes;Dacrymycetales;Cerinomyces;Cerinomyces ceraceus;1175230;Cercer1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Cercophora;Cercophora newfieldiana;92897;Cernew1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Cercophora;Cercophora scortea;314031;Cersc1
Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;Ceraceosorales;Ceraceosorus;Ceraceosorus guamensis;1522189;Cersp1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Gelatoporia;Gelatoporia subvermispora B;914234;Cersu1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Cerrena;Cerrena unicolor 303;1142151;Cerun2
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Ceriporia;Ceriporia viridans;40428;Cervir1
Ascomycota;Pezizomycotina;Dothideomycetes;Capnodiales;Cercospora;Cercospora zeae-maydis SCOH1-5;717836;Cerzm1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Chaetomium;Chaetomium fimeti;1854472;Chafi1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Dichotomopilus;Dichotomopilus funicola;1934379;Chafu1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Chaetomium;Chaetomium globosum;38033;Chagl1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Chaetomium;Chaetomium globosum CBS 148.51;306901;Chagl_1
Ascomycota;Pezizomycotina;Sordariomycetes;Chaetosphaeriales;Chaetosphaeria;Chaetosphaeria innumera;139949;Chain1
Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales;Chalara;Chalara longipes BDJ;1379296;Chalo1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Chaetomium;Chaetomium megalocarpum;1036259;Chame1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Chaetomium;Chaetomium thermophilum var. thermophilum DSM 1495;759272;Chathe1
Basidiomycota;Pucciniomycotina;Agaricostilbomycetes;Agaricostilbales;Chionosphaera;Chionosphaera apobasidialis;54742;Chiap1
Basidiomycota;Pucciniomycotina;Agaricostilbomycetes;Agaricostilbales;Chionosphaera;Chionosphaera cuniculicola;180810;Chicu1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Chlamydoabsidia;Chlamydoabsidia padenii;90267;Chlpad1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Choanephora;Choanephora cucurbitarum;101091;Chocucu1
Ascomycota;Pezizomycotina;Pezizomycetes;Pezizales;Choiromyces;Choiromyces venosus 120613-1;1336337;Chove1
Chytridiomycota;;Chytridiomycetes;Chytridiales;Chytriomyces;Chytriomyces hyalinus;4814;Chyhya1
Chytridiomycota;;Chytridiomycetes;Chytridiales;Chytridium;Chytridium lagenaria;64509;Chylag1
Chytridiomycota;;Chytridiomycetes;Chytridiales;Chytriomyces;Chytriomyces sp. MP71;1882861;Chytri1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Circinella;Circinella umbellata;101103;Cirumb1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Citeromyces;Citeromyces matritensis;36909;Citma1
Ascomycota;Pezizomycotina;Eurotiomycetes;Phaeomoniellales;;Phaeomoniellales sp. NC0930;1907227;ClaNC0930_1
Basidiomycota;Agaricomycotina;Agaricomycetes;Cantharellales;Clavulina;Clavulina sp. PMI_390;1486700;ClaPMI390
Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Cladophialophora;Cladophialophora bantiana CBS 173.52;1442370;Claba1
Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Cladophialophora;Cladophialophora carrionii CBS 160.54;1279043;Claca1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Clathrospora;Clathrospora elynae;706981;Clael1
Ascomycota;Pezizomycotina;Dothideomycetes;Capnodiales;Passalora;Passalora fulva;5499;Clafu1
Ascomycota;Pezizomycotina;Lecanoromycetes;Lecanorales;Cladonia;Cladonia grayi;27339;Clagr3
Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Cladophialophora;Cladophialophora immunda;569365;Claim1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Clavispora;Clavispora lusitaniae ATCC 42720;306902;Clalu1_2
Chytridiomycota;;Chytridiomycetes;Cladochytriales;Cladochytrium;Cladochytrium polystomum;1437435;Clapol1_1
Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Cladophialophora;Cladophialophora psammophila CBS 110553;1182543;Claps1
Basidiomycota;Agaricomycotina;Agaricomycetes;Russulales;Artomyces;Artomyces pyxidatus;48021;Clapy1
Ascomycota;Pezizomycotina;Dothideomycetes;Capnodiales;Cladosporium;Cladosporium sphaerospermum;92950;Clasph1
Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Cladophialophora;Cladophialophora yegresii CBS 114405;1182544;Claye1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Climacocystis;Climacocystis borealis;239101;Clibor1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Infundibulicybe;Infundibulicybe gibba;378275;Cligib1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Clohesyomyces;Clohesyomyces aquaticus;1231657;Cloaq1
Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;Clonostachys;Clonostachys rosea;29856;Cloro1
Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Coccodinium;Coccodinium bartschii;54530;Cocba1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Bipolaris;Bipolaris zeicola 26-R-13;930089;Cocca1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Bipolaris;Bipolaris maydis;5016;CocheC4_1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Bipolaris;Bipolaris maydis C5;701091;CocheC5_3
Ascomycota;Pezizomycotina;Eurotiomycetes;Onygenales;Coccidioides;Coccidioides immitis RS;246410;Cocim1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Curvularia;Curvularia lunata m118;977863;Coclu2
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Bipolaris;Bipolaris oryzae ATCC 44560;930090;Cocmi1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Bipolaris;Bipolaris sorokiniana ND90Pr;665912;Cocsa1
Ascomycota;Pezizomycotina;Leotiomycetes;Rhytismatales;Coccomyces;Coccomyces strobi;380015;Cocst1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Bipolaris;Bipolaris victoriae FI3;930091;Cocvi1
Ascomycota;Pezizomycotina;Sordariomycetes;Chaetosphaeriales;Codinaeopsis;Codinaeopsis sp. FL1790;2185273;CodFL1790_1
Zoopagomycota;Kickxellomycotina;Kickxellomycetes;Kickxellales;Coemansia;Coemansia mojavensis;4864;Coemoj1
Zoopagomycota;Kickxellomycotina;Kickxellomycetes;Kickxellales;Coemansia;Coemansia reversa NRRL 1564;763665;Coere1
Zoopagomycota;Kickxellomycotina;Kickxellomycetes;Kickxellales;Coemansia;Coemansia spiralis;417178;Coespi1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Cokeromyces;Cokeromyces recurvatus;90255;Cokrec1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum abscissum;1671311;Colab1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum acutatum;27357;Colac2
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum caudatum;5460;Colca1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum cereale;343994;Colce1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum chlorophyti;708187;Colch1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum costaricense;1209916;Colco1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum cuscutae;1209917;Colcu1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum eremochloae;1173702;Coler1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum falcatum;129314;Colfa1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum fioriniae PJ7;1445577;Colfi1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum godetiae;1209918;Colgo1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum graminicola M1.001;645133;Colgr1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum higginsianum IMI 349063;759273;Colhig2
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum incanum;1573173;Colin1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum lupini;145971;Collu1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum lupini;145971;Collup1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum melonis;1209925;Colme1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum navitas;681940;Colna1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum nymphaeae SA-01;1460502;Colny1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum orchidophilum;1209926;Color1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum orbiculare;5465;Colorb1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum paranaense;1914294;Colpa1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum phormii;359342;Colph1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum salicis;1209931;Colsa1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum simmondsii;703756;Colsi1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum somersetense;1500509;Colso1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum sp.;34409;Colsp1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum sublineola;1173701;Colsu1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum tamarilloi;1209934;Colta1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum tofieldiae;708197;Colto1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum tofieldiae;708197;Coltof1
Ascomycota;Pezizomycotina;Sordariomycetes;Glomerellales;Colletotrichum;Colletotrichum zoysiae;1216348;Colzo1
Ascomycota;Pezizomycotina;Sordariomycetes;Coniochaetales;Coniochaeta;Coniochaeta sp. PMI_546;1450552;ConPMI546
Ascomycota;Pezizomycotina;Dothideomycetes;;Coniosporium;Coniosporium apollinis CBS 100218;1168221;Conap1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Conocybe;Conocybe apala;229365;Conapa1
Zoopagomycota;Entomophthoromycotina;Entomophthoromycetes;Entomophthorales;Conidiobolus;Conidiobolus coronatus NRRL 28638;796925;Conco1
Ascomycota;Pezizomycotina;Sordariomycetes;Coniochaetales;Coniochaeta;Coniochaeta sp. 2T2.1;1571157;Conioc1
Ascomycota;Pezizomycotina;Sordariomycetes;Coniochaetales;Coniochaeta;Coniochaeta ligniaria;177197;Conli1
Ascomycota;Pezizomycotina;Sordariomycetes;Coniochaetales;Coniochaeta;Coniochaeta ligniaria;177197;Conlig1
Basidiomycota;Agaricomycotina;Agaricomycetes;Boletales;Coniophora;Coniophora olivacea;85977;Conol1
Basidiomycota;Agaricomycotina;Agaricomycetes;Boletales;Coniophora;Coniophora puteana RWD-64-598 SS2;741705;Conpu1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Lyophyllum;Lyophyllum montanum;1940298;Cont1119283
Zoopagomycota;Entomophthoromycotina;Entomophthoromycetes;Entomophthorales;Conidiobolus;Conidiobolus thromboides FSU 785;1314799;Conth1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Coprinellus;Coprinellus angulatus;980116;Copang1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Coprinopsis;Coprinopsis cinerea;5346;Copci1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Coprinopsis;Coprinopsis cinerea AmutBmut pab1-1;1132390;Copci_AmutBmut1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Coprinopsis;Coprinopsis marcescibilis;230819;Copmar1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Coprinellus;Coprinellus micaceus;71717;Copmic2
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Coprinellus;Coprinellus pellucidus;575509;Coppel1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Coprinus;Coprinus phaeopunctatus;979884;Copph3
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Coprinopsis;Coprinopsis sclerotiger;71723;Copscl1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Cortinarius;Cortinarius austrovenetus;742016;Coraus1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Corynespora;Corynespora cassiicola;59586;Corca1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Cortinarius;Cortinarius aff. campbellae;2511838;Corcam1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Cortinarius;Cortinarius glaucopus;171480;Corgl3
Ascomycota;Pezizomycotina;Sordariomycetes;Microascales;Corollospora;Corollospora maritima;45810;Corma2
Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;Cordyceps;Cordyceps militaris CM01;983644;Cormi1
Ascomycota;Pezizomycotina;Sordariomycetes;Boliniales;;Boliniaceae sp. AZ0804;1907230;Cornip1
Ascomycota;Pezizomycotina;Sordariomycetes;Sordariales;Corynascus;Corynascus similis CBS 632.67;1403191;Corsim1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Crassisporium;Crassisporium funariophilum;1954473;Crafun1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Crepidotus;Crepidotus cesatii;110238;Creces1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Crepidotus;Crepidotus variabilis;179855;Crevar1
Basidiomycota;Agaricomycotina;Agaricomycetes;Atheliales;Cristinia;Cristinia sonorae;1940300;Crison1
Basidiomycota;Pucciniomycotina;Pucciniomycetes;Pucciniales;Cronartium;Cronartium quercuum f. sp. fusiforme G11;708437;Croqu1
Basidiomycota;Agaricomycotina;Agaricomycetes;Corticiales;Crustoderma;Crustoderma dryinum;1333630;Crudry1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Crucibulum;Crucibulum laeve;68775;Crula1
Basidiomycota;Agaricomycotina;Tremellomycetes;Trichosporonales;Cutaneotrichosporon;Cutaneotrichosporon curvatum;57679;Crycu1
Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Cryptococcus;Cryptococcus neoformans var. grubii H99;235443;Cryne_H99_1
Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Cryptococcus;Cryptococcus neoformans var. neoformans JEC21;214684;Cryne_JEC21_1
Ascomycota;Pezizomycotina;Sordariomycetes;Diaporthales;Cryphonectria;Cryphonectria parasitica EP155;660469;Crypa2
Ascomycota;Pezizomycotina;Sordariomycetes;Diaporthales;Cryptodiaporthe;Cryptodiaporthe populea;940279;Crypo1
Ascomycota;Pezizomycotina;Sordariomycetes;Diaporthales;Cryptodiaporthe;Cryptodiaporthe sp. AZ0812;1907526;Crypto1
Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Solicoccozyma;Solicoccozyma terricola;104414;Cryte1
Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Naganishia;Naganishia vishniacii;89929;Cryvi1
Basidiomycota;Agaricomycotina;Tremellomycetes;Filobasidiales;Filobasidium;Filobasidium wieringae;104416;Crywi1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Camillea;Camillea tinctor;110548;CtCBS203_1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Cucurbitaria;Cucurbitaria berberidis;45142;Cucbe1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Cunninghamella;Cunninghamella echinulata;76405;Cunech1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Teichospora;Teichospora sp. FL1471;1907231;Currey1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Cyathus;Cyathus striatus;68777;Cyastr2
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Cyberlindnera;Cyberlindnera jadinii;4903;Cybja1
Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;Cylindrocarpon;Cylindrocarpon olidum;303675;Cylol1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Cylindrobasidium;Cylindrobasidium torrendii;394432;Cylto1
Ascomycota;Pezizomycotina;Eurotiomycetes;Chaetothyriales;Cyphellophora;Cyphellophora europaea CBS 101466;1220924;Cypeu1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Cystostereum;Cystostereum murrayi;467946;Cysmur1
Ascomycota;Pezizomycotina;Sordariomycetes;Diaporthales;Valsa;Valsa sordida;252740;Cytch1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Cytidiella;Cytidiella melzeri;1883072;Cytmel1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Daldinia;Daldinia sp. FL1419;2614575;DaFL1419_1
Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;Dactylonectria;Dactylonectria estremocensis;1079267;Daces1
Ascomycota;Pezizomycotina;Sordariomycetes;Hypocreales;Dactylonectria;Dactylonectria macrodidyma;307937;Dacma1
Basidiomycota;Agaricomycotina;Dacrymycetes;Dacrymycetales;Dacryonaema;Dacryonaema rufum;2079950;Dacruf1
Basidiomycota;Agaricomycotina;Dacrymycetes;Dacrymycetales;Dacryopinax;Dacryopinax primogenitus;1858805;Dacsp1
Basidiomycota;Agaricomycotina;Dacrymycetes;Dacrymycetales;Dacrymyces;Dacrymyces tortus;2079947;Dactor1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Daedalea;Daedalea quercina L-15889;1314783;Daequ1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Daldinia;Daldinia sp. EC12;1001832;DalEC12_1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Daldinia;Daldinia bambusicola;326643;Dalba1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Daldinia;Daldinia caldariorum;326644;Dalcal1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Daldinia;Daldinia decipiens;326647;Daldec1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Daldinia;Daldinia eschscholtzii;292717;Dales1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Daldinia;Daldinia grandis;103428;Dalgra1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Daldinia;Daldinia loculata;103429;Dalloc1
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Daldinia;Daldinia loculata;103429;DallocAZ0526
Ascomycota;Pezizomycotina;Sordariomycetes;Xylariales;Daldinia;Daldinia vernicosa;114800;Dalver1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Debaryomyces;Debaryomyces hansenii CBS767;284592;Debha1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Decorospora;Decorospora gaudefroyi;184978;Decga1
Ascomycota;Saccharomycotina;Saccharomycetes;Saccharomycetales;Brettanomyces;Brettanomyces bruxellensis CBS 2499;747657;Dekbr2
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Delitschia;Delitschia sp. FL0756;1907232;DelFL0756_1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Delitschia;Delitschia confertaspora;1504671;Delco1
Ascomycota;Pezizomycotina;Dothideomycetes;Dothideales;Delphinella;Delphinella strobiligena;147560;Delst1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Dendrothele;Dendrothele bispora;1314803;Denbi1
Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Dendrothele;Dendrothele microspora;1124678;Denmi1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Dendryphion;Dendryphion nanum;256645;Denna1
Basidiomycota;Agaricomycotina;Agaricomycetes;Russulales;Dentipellis;Dentipellis sp. KUC8613;1883078;Densp1
Ascomycota;Pezizomycotina;Sordariomycetes;Diaporthales;;Diaporthaceae sp. PMI_573;2614600;DiaPMI573_1
Ascomycota;Pezizomycotina;Sordariomycetes;Diaporthales;Diaporthe;Diaporthe ampelina;1214573;Diaam1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Dichotomocladium;Dichotomocladium elegans;101130;Dicele1
Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Dichotomocladium;Dichotomocladium robustum;64645;Dicrob1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Dichomitus;Dichomitus squalens LYAD-421 SS1;732165;Dicsq1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Dichomitus;Dichomitus squalens;114155;Dicsqu18370_1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Dichomitus;Dichomitus squalens;114155;Dicsqu463_1
Basidiomycota;Agaricomycotina;Agaricomycetes;Polyporales;Dichomitus;Dichomitus squalens;114155;Dicsqu464_1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Didymella;Didymella exigua CBS 183.55;1150837;Didex1
Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Didymella;Didymella maydis;259522;Didma1
Ascomycota;Pezizomycotina;Dothideomycetes;;Didymocrea;Didymocrea sadasivanii;372059;Didsa1
Zoopagomycota;Kickxellomycotina;Dimargaritomycetes;Dimargaritales;Dimargaris;Dimargaris cristalligena;215637;DimcrSC1
Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Dioszegia;Dioszegia cryoxerica;603311;Diocr1
